data,hora,ANO_ELEICAO,eleicao,SIGLA_UF,uf_2,nome_uf,x8,cargo,vagas
05/11/2012,17:16:56,1998,ELEICOES 1998,AC,AC,ACRE,3,GOVERNADOR,1
05/11/2012,17:16:56,1998,ELEICOES 1998,AC,AC,ACRE,5,SENADOR,1
05/11/2012,17:16:56,1998,ELEICOES 1998,AC,AC,ACRE,6,DEPUTADO FEDERAL,8
05/11/2012,17:16:56,1998,ELEICOES 1998,AC,AC,ACRE,7,DEPUTADO ESTADUAL,24
05/11/2012,17:16:57,1998,ELEICOES 1998,AL,AL,ALAGOAS,3,GOVERNADOR,1
05/11/2012,17:16:57,1998,ELEICOES 1998,AL,AL,ALAGOAS,5,SENADOR,1
05/11/2012,17:16:57,1998,ELEICOES 1998,AL,AL,ALAGOAS,6,DEPUTADO FEDERAL,9
05/11/2012,17:16:57,1998,ELEICOES 1998,AL,AL,ALAGOAS,7,DEPUTADO ESTADUAL,27
05/11/2012,17:16:58,1998,ELEICOES 1998,AM,AM,AMAZONAS,3,GOVERNADOR,1
05/11/2012,17:16:58,1998,ELEICOES 1998,AM,AM,AMAZONAS,5,SENADOR,1
05/11/2012,17:16:58,1998,ELEICOES 1998,AM,AM,AMAZONAS,6,DEPUTADO FEDERAL,8
05/11/2012,17:16:58,1998,ELEICOES 1998,AM,AM,AMAZONAS,7,DEPUTADO ESTADUAL,24
05/11/2012,17:16:59,1998,ELEICOES 1998,AP,AP,AMAPÁ,3,GOVERNADOR,1
05/11/2012,17:16:59,1998,ELEICOES 1998,AP,AP,AMAPÁ,5,SENADOR,1
05/11/2012,17:16:59,1998,ELEICOES 1998,AP,AP,AMAPÁ,6,DEPUTADO FEDERAL,8
05/11/2012,17:16:59,1998,ELEICOES 1998,AP,AP,AMAPÁ,7,DEPUTADO ESTADUAL,24
05/11/2012,17:16:59,1998,ELEICOES 1998,BA,BA,BAHIA,3,GOVERNADOR,1
05/11/2012,17:16:59,1998,ELEICOES 1998,BA,BA,BAHIA,5,SENADOR,1
